"crime_category","crime_head","below_18_years_male","below_18_years_female","below_18_years_total","18_years_and_above_below_30_years_male","18_years_and_above_below_30_years_female","18_years_and_above_below_30_years_total","30_years_and_above_below_45_years_male","30_years_and_above_below_45_years_female","30_years_and_above_below_45_years_total","45_years_and_above_below_60_years_male","45_years_and_above_below_60_years_female","45_years_and_above_below_60_years_total","60_years_and_above_male","60_years_and_above_female","60_years_and_above_total","total_of_overall_age_group_male","total_of_overall_age_group_female","grand_total_of_male_and_female_arrested_including_juveniles"
"SLL","41 Foreigners Act; 1946","29","","29","763","264","1027","560","208","768","250","130","380","24","6","30","1626","608","2234"
"SLL","42 Place of Worship (Special Provisions) Act; 1991","","","","20","","20","14","","14","4","","4","","","","38","","38"
"SLL","43 Religious Institution (Prevention of Misuse) Act; 1988","","","","1","","1","","","","","","","","","","1","","1"
"SLL","44 Representation of People Act; 1951","","","","562","10","572","1141","3","1144","399","","399","13","","13","2115","13","2128"
"SLL","45 Emigration Act; 1983","","","","20","","20","27","","27","4","","4","","","","51","","51"
"SLL","46 Juvenile Justice (Care and Protection of Children) Act; 2000","111","17","128","453","43","496","697","109","806","230","21","251","13","1","14","1504","191","1695"
"SLL","47 Infant Substitutes Regulation Act; 2003","","","","","","","","","","","","","","","","","",""
"SLL","48 Anti-Hijacking Act; 1982","","","","","","","","","","","","","","","","","",""
"SLL","49 Atomic Energy Act; 1962","","","","","","","","","","","","","","","","","",""
"SLL","50 Weapons of Mass Destruction (Proh. of Unlawful Activities) Act; 2005","","","","","","","","","","","","","","","","","",""
"SLL","51 Suppression of Unlawful Acts against Safety of Civil Aviation Act; 1982","","","","","","","","","","","","","","","","","",""
"SLL","52 Safety of Maritime Navigation Act; 2002","","","","","","","","","","","","","","","","","",""
"SLL","53 Employment of Manual Scavengers and Construction of Dry Latrines (P) Act; 1993","","","","","","","","","","","","","1","","1","1","","1"
"SLL","54 Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act; 1994","","","","21","4","25","31","7","38","9","","9","","","","61","11","72"
"SLL","55 The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act; 1981","","","","9","","9","15","","15","4","","4","","","","28","","28"
"SLL","56 Other SLL crimes","545","9","554","1846680","4684","1851364","1202572","5349","1207921","341680","1713","343393","16941","100","17041","3408418","11855","3420273"
